,Date,Price (USD)
132,2023-11-19 19:44:48+00:00,99
133,2023-11-19 21:42:52+00:00,100
134,2023-11-19 23:40:56+00:00,97
135,2023-11-20 01:39:00+00:00,99
136,2023-11-20 03:37:04+00:00,98
137,2023-11-20 05:35:08+00:00,97
138,2023-11-20 07:33:12+00:00,89
139,2023-11-20 09:31:16+00:00,90
140,2023-11-20 11:29:20+00:00,95
141,2023-11-20 13:27:24+00:00,92
142,2023-11-20 15:25:28+00:00,94
143,2023-11-20 17:23:32+00:00,100
144,2023-11-20 19:21:36+00:00,96
145,2023-11-20 21:19:40+00:00,99
146,2023-11-20 23:17:44+00:00,101
147,2023-11-21 01:15:48+00:00,99
148,2023-11-21 03:13:52+00:00,94
149,2023-11-21 05:11:56+00:00,99
150,2023-11-21 07:10:00+00:00,102
151,2023-11-21 09:08:04+00:00,93
152,2023-11-21 11:06:08+00:00,96
153,2023-11-21 13:04:12+00:00,97
154,2023-11-21 15:02:16+00:00,99
155,2023-11-21 17:00:20+00:00,97
156,2023-11-21 18:58:24+00:00,98
157,2023-11-21 20:56:28+00:00,99
158,2023-11-21 22:54:32+00:00,96
159,2023-11-22 00:52:36+00:00,97
160,2023-11-22 02:50:40+00:00,98
161,2023-11-22 04:48:44+00:00,101
162,2023-11-22 06:46:48+00:00,93
163,2023-11-22 08:44:52+00:00,99
164,2023-11-22 10:42:56+00:00,104
165,2023-11-22 12:41:00+00:00,96
166,2023-11-22 14:39:04+00:00,96
167,2023-11-22 16:37:08+00:00,98
168,2023-11-22 18:35:12+00:00,101
169,2023-11-22 20:33:16+00:00,96
170,2023-11-22 22:31:20+00:00,100
171,2023-11-23 00:29:24+00:00,100
172,2023-11-23 02:27:28+00:00,100
173,2023-11-23 04:25:32+00:00,101
174,2023-11-23 06:23:36+00:00,95
175,2023-11-23 08:21:40+00:00,96
176,2023-11-23 10:19:44+00:00,100
177,2023-11-23 12:17:48+00:00,103
178,2023-11-23 14:15:52+00:00,102
179,2023-11-23 16:13:56+00:00,101
180,2023-11-23 18:12:00+00:00,102
181,2023-11-23 20:10:04+00:00,98
182,2023-11-23 22:08:08+00:00,103
183,2023-11-24 00:06:12+00:00,99
184,2023-11-24 02:04:16+00:00,100
185,2023-11-24 04:02:20+00:00,100
186,2023-11-24 06:00:24+00:00,100
187,2023-11-24 07:58:28+00:00,98
188,2023-11-24 09:56:32+00:00,104
189,2023-11-24 11:54:36+00:00,104
190,2023-11-24 13:52:40+00:00,105
191,2023-11-24 15:50:44+00:00,102
192,2023-11-24 17:48:48+00:00,102
193,2023-11-24 19:46:52+00:00,103
194,2023-11-24 21:44:56+00:00,104
195,2023-11-24 23:43:00+00:00,101
196,2023-11-25 01:41:04+00:00,100
197,2023-11-25 03:39:08+00:00,101
198,2023-11-25 05:37:12+00:00,102
199,2023-11-25 07:35:16+00:00,100
200,2023-11-25 09:33:20+00:00,98
201,2023-11-25 11:31:24+00:00,108
202,2023-11-25 13:29:28+00:00,109
203,2023-11-25 15:27:32+00:00,103
204,2023-11-25 17:25:36+00:00,106
205,2023-11-25 19:23:40+00:00,107
206,2023-11-25 21:21:44+00:00,108
207,2023-11-25 23:19:48+00:00,105
208,2023-11-26 01:17:52+00:00,107
209,2023-11-26 03:15:56+00:00,105
210,2023-11-26 05:14:00+00:00,108
211,2023-11-26 07:12:04+00:00,110
212,2023-11-26 09:10:08+00:00,97
213,2023-11-26 11:08:12+00:00,106
214,2023-11-26 13:06:16+00:00,106
215,2023-11-26 15:04:20+00:00,103
216,2023-11-26 17:02:24+00:00,107
217,2023-11-26 19:00:28+00:00,110
218,2023-11-26 20:58:32+00:00,106
219,2023-11-26 22:56:36+00:00,108
220,2023-11-27 00:54:40+00:00,106
221,2023-11-27 02:52:44+00:00,109
222,2023-11-27 04:50:48+00:00,106
223,2023-11-27 06:48:52+00:00,104
224,2023-11-27 08:46:56+00:00,102
225,2023-11-27 10:45:00+00:00,106
226,2023-11-27 12:43:04+00:00,102
227,2023-11-27 14:41:08+00:00,102
228,2023-11-27 16:39:12+00:00,104
229,2023-11-27 18:37:16+00:00,104
230,2023-11-27 20:35:20+00:00,106
231,2023-11-27 22:33:24+00:00,107
232,2023-11-28 00:31:28+00:00,106
233,2023-11-28 02:29:32+00:00,107
234,2023-11-28 04:27:36+00:00,112
235,2023-11-28 06:25:40+00:00,108
236,2023-11-28 08:23:44+00:00,109
237,2023-11-28 10:21:48+00:00,102
238,2023-11-28 12:19:52+00:00,107
239,2023-11-28 14:17:56+00:00,99
240,2023-11-28 16:16:00+00:00,103
241,2023-11-28 18:14:04+00:00,103
242,2023-11-28 20:12:08+00:00,105
243,2023-11-28 22:10:12+00:00,106
244,2023-11-29 00:08:16+00:00,107
245,2023-11-29 02:06:20+00:00,105
246,2023-11-29 04:04:24+00:00,103
247,2023-11-29 06:02:28+00:00,106
248,2023-11-29 08:00:32+00:00,94
249,2023-11-29 09:58:36+00:00,96
250,2023-11-29 11:56:40+00:00,108
251,2023-11-29 13:54:44+00:00,108
252,2023-11-29 15:52:48+00:00,109
253,2023-11-29 17:50:52+00:00,107
254,2023-11-29 19:48:56+00:00,107
255,2023-11-29 21:47:00+00:00,104
256,2023-11-29 23:45:04+00:00,105
257,2023-11-30 01:43:08+00:00,108
258,2023-11-30 03:41:12+00:00,111
259,2023-11-30 05:39:16+00:00,109
260,2023-11-30 07:37:20+00:00,105
261,2023-11-30 09:35:24+00:00,99
262,2023-11-30 11:33:28+00:00,105
263,2023-11-30 13:31:32+00:00,109
264,2023-11-30 15:29:36+00:00,104
265,2023-11-30 17:27:40+00:00,105
266,2023-11-30 19:25:44+00:00,107
267,2023-11-30 21:23:48+00:00,102
268,2023-11-30 23:21:52+00:00,105
269,2023-12-01 01:19:56+00:00,107
270,2023-12-01 03:18:00+00:00,105
271,2023-12-01 05:16:04+00:00,109
272,2023-12-01 07:14:08+00:00,107
273,2023-12-01 09:12:12+00:00,107
274,2023-12-01 11:10:16+00:00,109
275,2023-12-01 13:08:20+00:00,106
276,2023-12-01 15:06:24+00:00,109
277,2023-12-01 17:04:28+00:00,109
278,2023-12-01 19:02:32+00:00,107
279,2023-12-01 21:00:36+00:00,102
280,2023-12-01 22:58:40+00:00,109
281,2023-12-02 00:56:44+00:00,106
282,2023-12-02 02:54:48+00:00,106
283,2023-12-02 04:52:52+00:00,101
284,2023-12-02 06:50:56+00:00,100
285,2023-12-02 08:49:00+00:00,104
286,2023-12-02 10:47:04+00:00,106
287,2023-12-02 12:45:08+00:00,107
288,2023-12-02 14:43:12+00:00,106
289,2023-12-02 16:41:16+00:00,108
290,2023-12-02 18:39:20+00:00,108
291,2023-12-02 20:37:24+00:00,110
292,2023-12-02 22:35:28+00:00,110
293,2023-12-03 00:33:32+00:00,109
294,2023-12-03 02:31:36+00:00,108
295,2023-12-03 04:29:40+00:00,111
296,2023-12-03 06:27:44+00:00,106
297,2023-12-03 08:25:48+00:00,99
298,2023-12-03 10:23:52+00:00,113
299,2023-12-03 12:21:56+00:00,104
300,2023-12-03 14:20:00+00:00,107
301,2023-12-03 16:18:04+00:00,113
302,2023-12-03 18:16:08+00:00,108
303,2023-12-03 20:14:12+00:00,112
304,2023-12-03 22:12:16+00:00,112
305,2023-12-04 00:10:20+00:00,112
306,2023-12-04 02:08:24+00:00,113
