Date,Price
2020-12-09 00:00:00+00:00,92
2020-12-09 04:17:14+00:00,92
2020-12-09 08:34:28+00:00,94
2020-12-09 12:51:42+00:00,92
2020-12-09 17:08:56+00:00,96
2020-12-09 21:26:10+00:00,91
2020-12-10 01:43:24+00:00,91
2020-12-10 06:00:38+00:00,90
2020-12-10 10:17:52+00:00,90
2020-12-10 14:35:06+00:00,93
2020-12-10 18:52:20+00:00,94
2020-12-10 23:09:34+00:00,90
2020-12-11 03:26:48+00:00,90
2020-12-11 07:44:02+00:00,90
2020-12-11 12:01:16+00:00,92
2020-12-11 16:18:30+00:00,94
2020-12-11 20:35:44+00:00,94
2020-12-12 00:52:58+00:00,94
2020-12-12 05:10:12+00:00,94
2020-12-12 09:27:26+00:00,106
2020-12-12 13:44:40+00:00,106
2020-12-12 18:01:54+00:00,87
2020-12-12 22:19:08+00:00,78
2020-12-13 02:36:22+00:00,90
2020-12-13 06:53:36+00:00,90
2020-12-13 11:10:50+00:00,99
2020-12-13 15:28:04+00:00,94
2020-12-13 19:45:18+00:00,89
2020-12-14 00:02:32+00:00,86
2020-12-14 04:19:46+00:00,90
2020-12-14 08:37:00+00:00,90
2020-12-14 12:54:14+00:00,91
2020-12-14 17:11:28+00:00,91
2020-12-14 21:28:42+00:00,91
2020-12-15 01:45:56+00:00,91
2020-12-15 06:03:10+00:00,91
2020-12-15 10:20:24+00:00,90
2020-12-15 14:37:38+00:00,93
2020-12-15 18:54:52+00:00,86
2020-12-15 23:12:06+00:00,92
2020-12-16 03:29:20+00:00,92
2020-12-16 07:46:34+00:00,97
2020-12-16 12:03:48+00:00,97
2020-12-16 16:21:02+00:00,93
2020-12-16 20:38:16+00:00,97
2020-12-17 00:55:30+00:00,92
2020-12-17 05:12:44+00:00,92
2020-12-17 09:29:58+00:00,98
2020-12-17 13:47:12+00:00,87
2020-12-17 18:04:26+00:00,93
2020-12-17 22:21:40+00:00,82
2020-12-18 02:38:54+00:00,82
2020-12-18 06:56:08+00:00,93
2020-12-18 11:13:22+00:00,93
2020-12-18 15:30:36+00:00,98
2020-12-18 19:47:50+00:00,100
2020-12-19 00:05:04+00:00,91
2020-12-19 04:22:18+00:00,90
2020-12-19 08:39:32+00:00,93
2020-12-19 12:56:46+00:00,90
2020-12-19 17:14:00+00:00,123
2020-12-19 21:31:14+00:00,89
2020-12-20 01:48:28+00:00,92
2020-12-20 06:05:42+00:00,92
2020-12-20 10:22:56+00:00,106
2020-12-20 14:40:10+00:00,95
2020-12-20 18:57:24+00:00,98
2020-12-20 23:14:38+00:00,92
2020-12-21 03:31:52+00:00,92
2020-12-21 07:49:06+00:00,107
2020-12-21 12:06:20+00:00,87
2020-12-21 16:23:34+00:00,106
2020-12-21 20:40:48+00:00,92
2020-12-22 00:58:02+00:00,92
2020-12-22 05:15:16+00:00,92
2020-12-22 09:32:30+00:00,92
2020-12-22 13:49:44+00:00,92
2020-12-22 18:06:58+00:00,100
2020-12-22 22:24:12+00:00,86
2020-12-23 02:41:26+00:00,86
2020-12-23 06:58:40+00:00,86
2020-12-23 11:15:54+00:00,86
